question,expected,actual_1,actual_2,actual_3,verdict
How can Mossy Seeds be obtained in Stardew Valley?,"Mossy Seeds can be obtained by shaking or chopping down a Green Rain Tree, or by breaking Large Weeds during the Green Rain event.","Mossy Seeds can be obtained in several ways:

1. Shaking or chopping down a Green Rain Tree (5% chance each).
2. Breaking Large Weeds during the Green Rain event (5% chance).

These seeds grow into Green Rain Trees and can be fertilized for faster growth.","Mossy Seeds can be obtained by shaking or chopping down a Green Rain Tree, both with a 5% chance. During the Green Rain event, they can also drop with a 5% chance from breaking Large Weeds.","Mossy Seeds can be obtained by shaking (5%) or chopping (5%) Green Rain Trees, including those temporarily transformed during Fall, Winter, or the Green Rain event. They can also be acquired by cutting Large Weeds during the Green Rain event (5% chance).",PASS
What is the median time to maturity for Mossy Seeds?,The median time to maturity for Mossy Seeds is about 18 days.,"The median time to maturity for unfertilized Mossy Seeds is approximately 18 days, with most seeds maturing in under 32 days. Using Tree Fertilizer speeds up growth, guaranteeing a stage advancement nightly, even in winter.","The median time to maturity for Mossy Seeds is about 18 days. Over 90% of these seeds mature in less than 32 growing days under normal, unfertilized conditions.","The median time for Mossy Seeds to mature is about 18 days, with over 90% maturing in less than 32 days. Would you like advice on growing them faster or anything else?",PASS
What is the crafting recipe for a Slime Incubator in Stardew Valley?,The crafting recipe for a Slime Incubator requires Combat Level 8 and consists of 2 Iridium Bars and 100 Slimes.,"The crafting recipe for the Slime Incubator requires:
- 100 Slime
- 2 Iridium Bars

The recipe is unlocked upon reaching Combat Level 8.","To craft a Slime Incubator, you need to:

- 2 Iridium Bars
- 100 Slime

The crafting recipe is unlocked at Combat Level 8.",The crafting recipe for a Slime Incubator requires 2 Iridium Bars and 100 Slime. You unlock the recipe at Combat Level 8.,PASS
How long does it take for a Slime Egg to incubate in a Slime Incubator?,"It takes 4,000 in-game minutes (2 days, 13 hours, and 20 minutes) for a Slime Egg to incubate in a Slime Incubator.","A Slime Egg takes 4,000 in-game minutes (2 days, 13 hours, and 20 minutes) to incubate in a Slime Incubator. If you have the Coopmaster Profession, this time is cut in half.","A Slime Egg takes 4,000 in-game minutes, or 2 days, 13 hours, and 20 minutes, to incubate in a Slime Incubator. If you have the Coopmaster profession, this time is reduced by half.","A Slime Egg takes 4,000 in-game minutes (2 days, 13 hours, and 20 minutes) to incubate in a Slime Incubator. With the Coopmaster Profession, this time is cut in half. The Slime will hatch the following morning if the process finishes during the day.",FAIL
Where do Stone Golems (dangerous) spawn?,Stone Golems (dangerous) spawn in the Dangerous Mines.,"Dangerous Stone Golems spawn in the Dangerous Mines on floors 31–39. This happens after activating the Shrine of Challenge or during the ""Danger In The Deep"" quest.","Dangerous Stone Golems spawn in the Mines on floors 31–39 after activating the Shrine of Challenge or during the ""Danger In The Deep"" quest.","Dangerous Stone Golems spawn in the Mines on floors 31-39 after activating the Shrine of Challenge or during the ""Danger In The Deep"" quest.",PASS
What is the base HP of a Stone Golem (dangerous)?,The base HP of a Stone Golem (dangerous) is 283.,The base HP of a dangerous Stone Golem is 283.,The base HP of a dangerous Stone Golem is 283.,The base HP of a dangerous Stone Golem is 283. Let me know if you need more details!,PASS
What is required to cook a Maki Roll?,"A Maki Roll requires 1 fish, 1 seaweed, and 1 rice to cook.","To cook a Maki Roll, you need 1 Fish (any), 1 Seaweed, and 1 Rice. You can make it in an upgraded farmhouse kitchen or with a Cookout Kit.","To cook a Maki Roll, you need 1 Fish (any type), 1 Seaweed, and 1 Rice. It can be prepared in a farmhouse kitchen (after upgrading) or using a Cookout Kit.","To cook a Maki Roll, you need 1 fish (any type), 1 seaweed, and 1 rice.",PASS
Where can the recipe for Maki Roll be obtained?,"The recipe for Maki Roll can be obtained from The Queen of Sauce on 21 Summer, Year 1, or purchased at the Stardrop Saloon for 300g.","The recipe for Maki Roll can be obtained by watching ""The Queen of Sauce"" on TV on the 21st of Summer in Year 1. Alternatively, it can be purchased at the Stardrop Saloon for 300g.","The recipe for Maki Roll can be learned from ""The Queen of Sauce"" TV show on Summer 21 of Year 1. Alternatively, it is available for purchase at the Stardrop Saloon for 300g.","The recipe for Maki Roll can be obtained from ""The Queen of Sauce"" cooking show on Summer 21 of Year 1. It can also be purchased from the Stardrop Saloon for 300g.",PASS
How can a player lose health in Stardew Valley?,A player can lose health by being attacked by monsters or being hit by the train on the Railroad.,"Players can lose health primarily by being attacked by monsters in locations like the Mines, the Skull Cavern, or other areas with enemies. They can also lose health by being hit by the train at the Railroad. Health depletion is displayed next to the energy bar and can be replenished by eating food, sleeping, or using the spa.","Players lose health primarily by getting attacked by monsters in areas like the Mines, Skull Cavern, and Volcano Dungeon. It can also happen through hazards like being hit by the train on the Railroad. If health drops to zero, players pass out, lose gold, and may lose inventory items unless wearing a Phoenix Ring, which revives them once per day.","Players can lose health through attacks from monsters in areas like the Mines, Skull Cavern, and Volcano Dungeon. Getting hit by the train or certain events can also cause damage. Additionally, reaching zero health results in passing out, losing gold, and potentially items. For most cases, food, sleeping, or using spa facilities can replenish lost health. Effects like exhaustion don't directly harm health but can limit stamina.",PASS
What happens if a player's health reaches zero and they do not have a Phoenix Ring equipped?,"If a player's health reaches zero without having a Phoenix Ring equipped, they will pass out and one of the villagers will awaken them.","If your health hits zero without a Phoenix Ring, you pass out. You’ll either wake up at Harvey’s Clinic, in your home, or at the mine entrance (varies by location of injury). You lose some gold and up to three inventory items, though one item can be recovered later at the Adventurer's Guild. Gold loss caps at 15,000g.","When a player's health reaches zero without the Phoenix Ring, they pass out. Depending on where this occurs, they may wake up in their farmhouse, the Mines' entry room, or Harvey's Clinic. This involves losing some gold, possibly up to 15,000g, and up to three inventory items. One lost item can be retrieved via the Item Recovery Service at the Adventurer's Guild.","If a player's health reaches zero without a Phoenix Ring equipped, they pass out. Upon waking, they suffer penalties, such as losing gold and items, depending on circumstances. For instance, in mines or Skull Cavern, they may lose several inventory items and a portion of gold, as well as progress in that area.",FAIL
Where can the Joja Dresser be purchased?,The Joja Dresser can be purchased from the Joja Furniture Catalogue.,"The Joja Dresser can be purchased through the Joja Furniture Catalogue. The catalogue itself is available at JojaMart for 25,000g, or occasionally at the Traveling Cart for 30,000g after completing the Community Center Bundles.","The Joja Dresser can be purchased from the Joja Furniture Catalogue, which is available at JojaMart for 25,000g. It may also appear in the Traveling Cart for 30,000g after completing the Community Center Bundles.","The Joja Dresser can be purchased through the Joja Furniture Catalogue, which is available at JojaMart for 25,000g. The catalogue allows you to obtain unlimited Joja-themed furniture, including the Joja Dresser, at no additional cost once acquired.",PASS
What is the function of the Joja Dresser in Stardew Valley?,"The Joja Dresser is used to store clothing, hats, shoes, and rings.","The Joja Dresser is a piece of furniture from the Joja Furniture Catalogue. Its function is to store clothing, hats, shoes, and rings, helping to organize your items effectively.","The Joja Dresser is a furniture item used to store clothing, hats, shoes, and rings. It is available through the Joja Furniture Catalogue.","The Joja Dresser can be used to store clothing, hats, shoes, and rings. It is available from the Joja Furniture Catalogue.",PASS
